Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,64.31,44.82,5.225,-0.33435,1.732e-1,0.2208,0.1256,5201.778,5.848e-4,5.848e-4,5.848e-4,0_1:1.476e-2,0_1:241.778
Q1,100.32,97.05,5.004,-0.32237,1.521e-1,0.2606,0.0436,5201.778,9.093e-4,9.093e-4,9.093e-4,1_4:1.074e-2; 1_2:1.087e-2; 1_0:1.476e-2,1_4:469.333; 1_2:547.556; 1_0:277.333
Q2,77.82,112.86,5.144,-0.33555,1.980e-2,0.0302,0.0094,5201.778,2.778e-4,2.778e-4,2.778e-4,2_3:1.016e-2; 2_1:1.087e-2,2_3:327.111; 2_1:512
Q3,55.42,89.28,5.226,-0.32951,2.950e-2,0.052,0.007,5201.778,4.740e-4,4.740e-4,4.740e-4,3_5:1.153e-2; 3_2:1.016e-2,3_5:376.889; 3_2:362.667
Q4,64.15,148.69,5.088,-0.33615,6.050e-2,0.0924,0.0286,5201.778,2.595e-4,2.595e-4,2.595e-4,4_7:8.353e-3; 4_1:1.074e-2,4_7:504.889; 4_1:504.889
Q5,39.6,138.75,5.167,-0.33048,1.650e-2,0.023,0.01,5201.778,1.947e-4,1.947e-4,1.947e-4,5_8:1.040e-2; 5_3:1.153e-2,5_8:348.444; 5_3:341.333
Q6,19.19,51.18,5.152,-0.33622,8.640e-2,0.1344,0.0384,5201.778,2.785e-4,2.785e-4,2.785e-4,6_7:1.110e-2,6_7:298.667
Q7,114.22,167.74,4.915,-0.32245,6.250e-2,0.0672,0.0578,5201.778,1.814e-4,1.814e-4,1.814e-4,7_10:6.758e-3; 7_6:1.110e-2; 7_4:8.353e-3,7_10:483.556; 7_6:334.222; 7_4:469.333
Q8,84.83,63.66,5.033,-0.32062,3.230e-2,0.0526,0.012,5201.778,3.682e-4,3.682e-4,3.682e-4,8_9:1.144e-2; 8_5:1.040e-2; 8_11:8.157e-3,8_9:376.889; 8_5:384; 8_11:341.333
Q9,66.97,110.36,5.082,-0.33612,2.760e-2,0.0504,0.0048,5201.778,3.108e-4,3.108e-4,3.108e-4,9_8:1.144e-2,9_8:341.333
Q10,91.81,114.34,5.098,-0.33658,9.630e-2,0.1316,0.061,5201.778,1.958e-4,1.958e-4,1.958e-4,10_12:6.977e-3; 10_7:6.758e-3,10_12:483.556; 10_7:519.111
Q11,71.96,158.23,5.117,-0.33559,1.030e-2,0.015,0.0056,5201.778,1.693e-4,1.693e-4,1.693e-4,11_8:8.157e-3; 11_14:1.169e-2,11_8:305.778; 11_14:497.778
Q12,91.91,155.37,4.928,-0.32314,7.730e-2,0.102,0.0526,5201.778,1.854e-4,1.854e-4,1.854e-4,12_15:8.731e-3; 12_13:7.140e-3; 12_10:6.977e-3,12_15:419.556; 12_13:419.556; 12_10:448
Q13,54.14,57.6,5.128,-0.33524,3.539e-1,0.3404,0.3674,5201.778,3.951e-4,3.951e-4,3.951e-4,13_12:7.140e-3; 13_14:7.459e-2,13_12:384; 13_14:270.222
Q14,77.28,111.93,5.017,-0.32194,1.990e-2,0.0276,0.0122,5201.778,2.392e-4,2.392e-4,2.392e-4,14_16:8.359e-3; 14_11:1.169e-2; 14_13:7.459e-2,14_16:426.667; 14_11:462.222; 14_13:305.778
Q15,74.84,64.78,5.092,-0.33643,2.017e-1,0.1862,0.2172,5201.778,1.428e-3,1.428e-3,1.428e-3,15_18:1.668e-2; 15_12:8.731e-3,15_18:704; 15_12:455.111
Q16,91.16,142.92,4.943,-0.33835,1.320e-2,0.0226,0.0038,5201.778,1.682e-4,1.682e-4,1.682e-4,16_14:8.359e-3; 16_19:7.469e-3,16_14:391.111; 16_19:433.778
Q17,38.4,108.07,5.158,-0.33559,1.730e-2,0.028,0.0066,5201.778,3.145e-4,3.145e-4,3.145e-4,17_18:1.540e-2,17_18:860.444
Q18,83.98,138.07,5.06,-0.31939,5.980e-2,0.0602,0.0594,5201.778,1.330e-3,1.330e-3,1.330e-3,18_17:1.540e-2; 18_15:1.668e-2; 18_21:9.020e-3,18_17:824.889; 18_15:668.444; 18_21:320
Q19,68.71,94.7,5.069,-0.32026,1.580e-2,0.023,0.0086,5201.778,3.208e-4,3.208e-4,3.208e-4,19_22:9.155e-3; 19_16:7.469e-3; 19_20:9.650e-3,19_22:391.111; 19_16:398.222; 19_20:632.889
Q20,73.3,75.77,4.916,-0.34621,1.270e-2,0.0216,0.0038,5201.778,2.245e-4,2.245e-4,2.245e-4,20_19:9.650e-3,20_19:597.333
Q21,86.32,39.44,5.145,-0.33569,2.430e-2,0.0318,0.0168,5201.778,4.450e-4,4.450e-4,4.450e-4,21_18:9.020e-3; 21_23:2.038e-2,21_18:284.444; 21_23:640
Q22,111.31,81.21,5.122,-0.33485,2.260e-2,0.035,0.0102,5201.778,3.400e-4,3.400e-4,3.400e-4,22_19:9.155e-3; 22_25:1.139e-2,22_19:426.667; 22_25:497.778
Q23,97.84,38.49,5.1,-0.27445,6.650e-2,0.0702,0.0628,5201.778,4.481e-4,4.481e-4,4.481e-4,23_24:1.235e-2; 23_21:2.038e-2,23_24:497.778; 23_21:604.444
Q24,94.87,138.08,4.963,-0.33879,1.210e-2,0.0196,0.0046,5201.778,1.741e-4,1.741e-4,1.741e-4,24_25:6.651e-3; 24_23:1.235e-2,24_25:362.667; 24_23:462.222
Q25,75.02,30.25,5.065,-0.31994,2.300e-2,0.0378,0.0082,5201.778,3.956e-4,3.956e-4,3.956e-4,25_26:1.337e-2; 25_24:6.651e-3; 25_22:1.139e-2,25_26:547.556; 25_24:327.111; 25_22:462.222
Q26,83.71,105.5,5.216,-0.33499,1.410e-2,0.023,0.0052,5201.778,2.277e-4,2.277e-4,2.277e-4,26_25:1.337e-2,26_25:512
