Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,91.39,190.29,5.257,-0.3178,6.700e-3,0.0088,0.0046,732.444,1.934e-4,1.934e-4,1.934e-4,0_1:1.615e-2,0_1:554.667
Q1,30.69,23.15,5.036,-0.34219,7.400e-3,0.0114,0.0034,732.444,4.368e-4,4.368e-4,4.368e-4,1_4:1.331e-2; 1_2:9.897e-3; 1_0:1.615e-2,1_4:362.667; 1_2:320; 1_0:533.333
Q2,71.54,61.58,4.911,-0.34457,1.130e-2,0.0134,0.0092,732.444,1.583e-4,1.583e-4,1.583e-4,2_3:1.106e-2; 2_1:9.897e-3,2_3:220.444; 2_1:341.333
Q3,53.44,77.67,5.119,-0.34053,1.010e-2,0.0142,0.006,732.444,2.806e-4,2.806e-4,2.806e-4,3_2:1.106e-2; 3_5:6.940e-3,3_2:199.111; 3_5:277.333
Q4,42.27,27.25,5.186,-0.33932,1.280e-2,0.0166,0.009,732.444,2.296e-4,2.296e-4,2.296e-4,4_7:8.188e-3; 4_1:1.331e-2,4_7:263.111; 4_1:384
Q5,151.55,43.25,5.046,-0.34114,1.230e-2,0.0128,0.0118,732.444,2.888e-4,2.888e-4,2.888e-4,5_8:4.758e-3; 5_3:6.940e-3,5_8:174.222; 5_3:320
Q6,136.45,128.25,5.099,-0.34068,1.010e-2,0.0114,0.0088,732.444,4.729e-4,4.729e-4,4.729e-4,6_7:9.263e-3,6_7:305.778
Q7,112.74,168.37,5.048,-0.34113,8.900e-3,0.01,0.0078,732.444,5.095e-4,5.095e-4,5.095e-4,7_6:9.263e-3; 7_4:8.188e-3; 7_10:1.000e+0,7_6:327.111; 7_4:284.444; 7_10:234.667
Q8,128.7,100.92,4.969,-0.34305,1.220e-2,0.0152,0.0092,732.444,1.370e-4,1.370e-4,1.370e-4,8_9:6.160e-3; 8_11:5.065e-2; 8_5:4.758e-3,8_9:256; 8_11:405.333; 8_5:216.889
Q9,107.98,72.63,5.228,-0.33915,4.130e-2,0.0336,0.049,732.444,2.129e-4,2.129e-4,2.129e-4,9_8:6.160e-3,9_8:234.667
Q10,116.69,18.71,5.233,-0.33898,6.900e-3,0.009,0.0048,732.444,1.511e-4,1.511e-4,1.511e-4,10_12:5.358e-3; 10_7:1.000e+0,10_12:224; 10_7:213.333
Q11,96.62,9.07,5.133,-0.34041,1.960e-2,0.0212,0.018,732.444,3.611e-4,3.611e-4,3.611e-4,11_8:5.065e-2; 11_14:1.345e-2,11_8:426.667; 11_14:188.444
