Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,206.38,263.41,5.035,-0.3423,7.600e-3,0.0094,0.0058,757.333,1.542e-4,1.542e-4,1.542e-4,0_1:1.199e-2,0_1:305.778
Q1,131.84,176.11,5.156,-0.34212,1.160e-2,0.0164,0.0068,757.333,2.655e-4,2.655e-4,2.655e-4,1_0:1.199e-2; 1_4:6.481e-3; 1_2:3.532e-3,1_0:327.111; 1_4:181.333; 1_2:241.778
Q2,134.96,355.34,5.256,-0.33973,6.700e-3,0.0074,0.006,757.333,1.216e-4,1.216e-4,1.216e-4,2_3:6.872e-3; 2_1:3.532e-3,2_3:334.222; 2_1:199.111
Q3,179.89,284.82,5.097,-0.34202,7.300e-3,0.0086,0.006,757.333,1.037e-4,1.037e-4,1.037e-4,3_5:3.821e-3; 3_2:6.872e-3,3_5:227.556; 3_2:376.889
Q4,199.97,15.79,5.073,-0.34287,7.800e-3,0.01,0.0056,757.333,1.309e-4,1.309e-4,1.309e-4,4_7:8.375e-3; 4_1:6.481e-3,4_7:256; 4_1:224
Q5,175.31,271.41,5.207,-0.34101,6.400e-3,0.007,0.0058,757.333,2.105e-4,2.105e-4,2.105e-4,5_8:1.704e-2; 5_3:3.821e-3,5_8:323.556; 5_3:184.889
Q6,156.93,182.78,5.021,-0.34481,1.550e-2,0.0166,0.0144,757.333,2.124e-4,2.124e-4,2.124e-4,6_7:4.918e-3,6_7:263.111
Q7,208.57,218.18,4.919,-0.34572,1.330e-2,0.0132,0.0134,757.333,1.516e-4,1.516e-4,1.516e-4,7_6:4.918e-3; 7_4:8.375e-3; 7_10:4.635e-3,7_6:284.444; 7_4:298.667; 7_10:202.667
Q8,181.9,204.07,5.031,-0.34437,2.330e-2,0.034,0.0126,757.333,2.457e-4,2.457e-4,2.457e-4,8_9:8.869e-3; 8_5:1.704e-2; 8_11:3.807e-3,8_9:540.444; 8_5:366.222; 8_11:312.889
Q9,175.38,291.25,4.874,-0.34708,1.300e-2,0.0174,0.0086,757.333,2.098e-4,2.098e-4,2.098e-4,9_8:8.869e-3,9_8:519.111
Q10,180.89,241.57,4.821,-0.34695,1.670e-2,0.0186,0.0148,757.333,1.375e-4,1.375e-4,1.375e-4,10_12:4.836e-3; 10_7:4.635e-3,10_12:277.333; 10_7:245.333
Q11,157.79,216.1,5.162,-0.34057,1.960e-2,0.0238,0.0154,757.333,1.241e-4,1.241e-4,1.241e-4,11_14:6.693e-3; 11_8:3.807e-3,11_14:426.667; 11_8:270.222
Q12,196.62,190.08,4.719,-0.35195,1.090e-2,0.013,0.0088,757.333,9.858e-5,9.858e-5,9.858e-5,12_13:1.051e-2; 12_15:1.013e-2; 12_10:4.836e-3,12_13:405.333; 12_15:405.333; 12_10:298.667
Q13,123.6,174.94,4.962,-0.34388,1.730e-2,0.0238,0.0108,757.333,1.216e-3,1.216e-3,1.216e-3,13_12:1.051e-2; 13_14:7.976e-3,13_12:384; 13_14:256
Q14,118.67,27.22,5.047,-0.34446,6.700e-3,0.0064,0.007,757.333,1.587e-4,1.587e-4,1.587e-4,14_13:7.976e-3; 14_11:6.693e-3; 14_16:8.760e-3,14_13:234.667; 14_11:405.333; 14_16:419.556
Q15,178.18,35.75,4.923,-0.31959,3.770e-2,0.0412,0.0342,757.333,3.150e-4,3.150e-4,3.150e-4,15_18:8.439e-3; 15_12:1.013e-2,15_18:327.111; 15_12:384
